org_id	user_id	session_ids	conversation_types
1	10032	10032_10039,10032_10040,group_f0a11198-eaa1-4123-bb9b-31e280cc6bda,group_d10424ec-a690-434d-9488-59059fd3d237	1,1,3,3
1	10040	10032_10040,10031_10040,group_19409ee0-0f86-4dd8-a1cf-9b1f5de01d2e,group_f0a11198-eaa1-4123-bb9b-31e280cc6bda	1,1,3,3
1	10046	10046_10047,10046_10051,group_0bbb8310-498e-48b3-a7b6-3bed5d0f8087,group_b1655df5-63e3-4765-8528-e3c9b109be91,group_63c7e8ad-2725-4220-9bac-b834554f5b7e	1,1,3,3,3
1	10047	10046_10047,10047_10049,group_0bbb8310-498e-48b3-a7b6-3bed5d0f8087,group_8d83060e-3129-4f39-bd30-2804e48db231,group_67975ae7-310e-4208-bf7e-016397369003	1,1,3,3,3
1	10049	10047_10049,group_0bbb8310-498e-48b3-a7b6-3bed5d0f8087,group_3d60ea72-bd14-4a9f-9519-ca74044f7ae2	1,3,3
1	10051	10046_10051,10042_10051,group_8d83060e-3129-4f39-bd30-2804e48db231,group_b1655df5-63e3-4765-8528-e3c9b109be91,group_124a25b2-ace2-487d-a94c-2f3739840c33,group_8f13d898-82b2-40bd-87cd-d415552e8d36	1,1,3,3,3,3
1	10042	10042_10051	1
1	10061	10059_10061,group_c9a734f9-d414-4786-bda0-dc7f88369514,group_484ad2ad-689c-4e0a-9129-ab5c73f572aa,group_124a25b2-ace2-487d-a94c-2f3739840c33,group_105879ed-92c0-4d91-996a-4437a9633832	1,3,3,3,3
1	10059	10059_10061,group_c9a734f9-d414-4786-bda0-dc7f88369514,group_8ef6b1c3-1c1b-42cf-bd6c-b3e4787915b4	1,3,3
1	10058	10055_10058,group_484ad2ad-689c-4e0a-9129-ab5c73f572aa	1,3
1	10055	10055_10058,10055_10056,group_c9a734f9-d414-4786-bda0-dc7f88369514,group_8ef6b1c3-1c1b-42cf-bd6c-b3e4787915b4,group_15d35249-4db9-4342-8ce1-a579ba67403a	1,1,3,3,3
1	10054	10053_10054,10002_10054,group_8ef6b1c3-1c1b-42cf-bd6c-b3e4787915b4	1,1,3
1	10053	10053_10054,group_8ef6b1c3-1c1b-42cf-bd6c-b3e4787915b4	1,3
1	10056	10055_10056,group_484ad2ad-689c-4e0a-9129-ab5c73f572aa,group_6f66759d-dc13-44a8-9739-b8ced4ebac8b	1,3,3
1	10007	10007_10014,group_398d4678-2e59-4ab8-90f4-1977cb0c87bc	1,3
1	10018	10005_10018,group_ae52aa93-2ebe-42ac-b6a8-3a31e261ca8f,group_da7a23fc-4465-4fc4-a48c-5f95e8eb3b30,group_6f66759d-dc13-44a8-9739-b8ced4ebac8b,group_3d60ea72-bd14-4a9f-9519-ca74044f7ae2,group_105879ed-92c0-4d91-996a-4437a9633832	1,3,3,3,3,3
1	10005	10005_10018	1
1	10015	10008_10015,10015_10036,group_15d35249-4db9-4342-8ce1-a579ba67403a,group_67975ae7-310e-4208-bf7e-016397369003,group_e7c9d0cc-d32f-4a4c-b972-802abcbf95d0	1,1,3,3,3
1	10028	10012_10028,group_0661a8bb-1bc3-4550-9852-3264f2ed9753	1,3
1	10045	10021_10045,group_b1655df5-63e3-4765-8528-e3c9b109be91	1,3
1	10010	group_39e6659f-2f1a-4ffe-955c-d58040c7a8ee,group_3ffb246e-79d5-4106-bd40-07df085ca46a	3,3
1	10003	group_3ffb246e-79d5-4106-bd40-07df085ca46a	3
1	10027	group_0474a31d-5a86-4dfa-b93e-3410851b7fc0,group_fd117d22-1af5-438b-a8e8-0b8b05a99547,group_0661a8bb-1bc3-4550-9852-3264f2ed9753	3,3,3
1	10026	group_0474a31d-5a86-4dfa-b93e-3410851b7fc0,group_fd117d22-1af5-438b-a8e8-0b8b05a99547	3,3
1	10029	group_0661a8bb-1bc3-4550-9852-3264f2ed9753,group_3d60ea72-bd14-4a9f-9519-ca74044f7ae2	3,3
1	10034	group_19409ee0-0f86-4dd8-a1cf-9b1f5de01d2e	3
1	10037	group_19409ee0-0f86-4dd8-a1cf-9b1f5de01d2e	3
1	10035	group_d10424ec-a690-434d-9488-59059fd3d237	3
1	10048	group_0bbb8310-498e-48b3-a7b6-3bed5d0f8087,group_6f66759d-dc13-44a8-9739-b8ced4ebac8b,group_63c7e8ad-2725-4220-9bac-b834554f5b7e	3,3,3
1	10050	group_8d83060e-3129-4f39-bd30-2804e48db231,group_b1655df5-63e3-4765-8528-e3c9b109be91,group_6f66759d-dc13-44a8-9739-b8ced4ebac8b	3,3,3
1	10043	group_8d83060e-3129-4f39-bd30-2804e48db231,group_e7c9d0cc-d32f-4a4c-b972-802abcbf95d0,group_8f13d898-82b2-40bd-87cd-d415552e8d36,group_105879ed-92c0-4d91-996a-4437a9633832	3,3,3,3
1	10060	group_c9a734f9-d414-4786-bda0-dc7f88369514,group_26793c15-d865-4555-bcdb-d637ebefee7c	3,3
1	10057	group_484ad2ad-689c-4e0a-9129-ab5c73f572aa	3
1	10044	group_124a25b2-ace2-487d-a94c-2f3739840c33,group_8f13d898-82b2-40bd-87cd-d415552e8d36	3,3
1	10001	group_26793c15-d865-4555-bcdb-d637ebefee7c	3
1	10024	group_26793c15-d865-4555-bcdb-d637ebefee7c	3
2	10071	10071_10072	1
2	10072	10071_10072,10063_10072,10070_10072,group_b5925eb9-79f2-4590-b718-8778069d7bf5,group_88e28220-e592-411e-8726-380b2f11d113	1,1,1,3,3
2	10063	10063_10072,10063_10064,10063_10088,10063_10094,10063_10118,group_a0f6e4d3-8817-433a-9de3-24b3b50b3ff5,group_f96b7f20-1c67-4c75-a2ad-2282e46580b1	1,1,1,1,1,3,3
2	10064	10063_10064,group_74baef1c-b17d-43be-b749-cbdb18b78de8,group_af906d36-1317-44c5-ad65-c8fc4216ff78	1,3,3
2	10070	10070_10072,10070_10111,group_74baef1c-b17d-43be-b749-cbdb18b78de8,group_a0f6e4d3-8817-433a-9de3-24b3b50b3ff5,group_af906d36-1317-44c5-ad65-c8fc4216ff78	1,1,3,3,3
2	10073	10073_10078,group_d1d61e06-f775-489d-a1e3-a9b8625d3e38,group_804d73f3-b05c-478f-9513-a5a2d1b5dddb	1,3,3
2	10078	10073_10078,10078_10079,group_cdc85e82-0703-415b-9304-d984773c59fa	1,1,3
2	10076	10076_10081,group_804d73f3-b05c-478f-9513-a5a2d1b5dddb,group_cdc85e82-0703-415b-9304-d984773c59fa,group_da9f7b46-7684-4119-97a4-bebc5ab45ce3	1,3,3,3
2	10081	10076_10081,group_27fd70f2-44d7-42a9-85f4-799caff38d69,group_e2ff4dcd-4a6f-4fe4-a9ed-f6bddf7deddf	1,3,3
2	10075	10075_10077,group_d1d61e06-f775-489d-a1e3-a9b8625d3e38	1,3
2	10077	10075_10077,10068_10077,group_d1d61e06-f775-489d-a1e3-a9b8625d3e38,group_cdc85e82-0703-415b-9304-d984773c59fa,group_6e8009b0-f3f0-411c-8e26-9ee5160f8157	1,1,3,3,3
2	10079	10078_10079,group_804d73f3-b05c-478f-9513-a5a2d1b5dddb,group_9dce4757-f5c0-4bfa-8757-20aae070be8a	1,3,3
2	10084	10084_10090,10084_10086,group_b5925eb9-79f2-4590-b718-8778069d7bf5	1,1,3
2	10090	10084_10090,10088_10090,group_98ee846a-a9fd-4347-92ac-6e252476b624,group_9e800e87-fa1e-45a4-b863-455a425476fc	1,1,3,3
2	10086	10084_10086,group_5456d71e-107f-4890-adec-3fcbd564baeb,group_9e800e87-fa1e-45a4-b863-455a425476fc	1,3,3
2	10087	10087_10092,group_7b6ea624-1acc-4689-bacb-e5df4abae43c,group_da9f7b46-7684-4119-97a4-bebc5ab45ce3	1,3,3
2	10092	10087_10092,group_98ee846a-a9fd-4347-92ac-6e252476b624,group_5456d71e-107f-4890-adec-3fcbd564baeb,group_27fd70f2-44d7-42a9-85f4-799caff38d69	1,3,3,3
2	10088	10088_10090,10063_10088,group_9e800e87-fa1e-45a4-b863-455a425476fc	1,1,3
2	10094	10094_10095,10094_10098,10063_10094,group_037968d0-124b-4033-96e4-a95bc1515df5,group_50be1f1a-027b-4110-901e-3e21933259c3,group_f96b7f20-1c67-4c75-a2ad-2282e46580b1,group_88e28220-e592-411e-8726-380b2f11d113	1,1,1,3,3,3,3
2	10095	10094_10095,10095_10106,group_bcb83dbd-e1a5-4670-9976-2dd0e7d9e36f,group_50be1f1a-027b-4110-901e-3e21933259c3	1,1,3,3
2	10096	10096_10100,group_6e8009b0-f3f0-411c-8e26-9ee5160f8157	1,3
2	10100	10096_10100	1
2	10098	10094_10098,group_037968d0-124b-4033-96e4-a95bc1515df5,group_50be1f1a-027b-4110-901e-3e21933259c3	1,3,3
2	10099	10097_10099,10080_10099,group_bcb83dbd-e1a5-4670-9976-2dd0e7d9e36f,group_88e28220-e592-411e-8726-380b2f11d113	1,1,3,3
2	10097	10097_10099,group_bcb83dbd-e1a5-4670-9976-2dd0e7d9e36f,group_50be1f1a-027b-4110-901e-3e21933259c3	1,3,3
2	10108	10106_10108,10107_10108,10105_10108,group_6ed38fd9-4084-44ca-aae6-451e7ff398c7,group_fed639f1-fe2e-4b42-9b64-a3a6fb19ec62,group_f96b7f20-1c67-4c75-a2ad-2282e46580b1,group_991ecb85-0de4-40b6-b0e7-e2b605368efb,group_7b6ea624-1acc-4689-bacb-e5df4abae43c,group_b5925eb9-79f2-4590-b718-8778069d7bf5	1,1,1,3,3,3,3,3,3
2	10106	10106_10108,10095_10106,10103_10106,group_6ed38fd9-4084-44ca-aae6-451e7ff398c7,group_3850898f-0929-4f5f-8e36-f692c21c4d55,group_991ecb85-0de4-40b6-b0e7-e2b605368efb	1,1,1,3,3,3
2	10107	10107_10108,group_3850898f-0929-4f5f-8e36-f692c21c4d55,group_fed639f1-fe2e-4b42-9b64-a3a6fb19ec62,group_e2ff4dcd-4a6f-4fe4-a9ed-f6bddf7deddf	1,3,3,3
2	10105	10105_10108,10105_10114,group_6ed38fd9-4084-44ca-aae6-451e7ff398c7,group_3850898f-0929-4f5f-8e36-f692c21c4d55,group_fed639f1-fe2e-4b42-9b64-a3a6fb19ec62	1,1,3,3,3
2	10110	10110_10113,10110_10111,group_d26f4613-5206-4c2e-88ef-eb0fd8407920,group_1ee22c57-8e23-4287-b3ee-f65f19dfb302	1,1,3,3
2	10113	10110_10113,10082_10113,group_d26f4613-5206-4c2e-88ef-eb0fd8407920,group_edae3b94-dd87-47e1-b120-385a07619937,group_1ee22c57-8e23-4287-b3ee-f65f19dfb302	1,1,3,3,3
2	10109	10109_10111,group_d26f4613-5206-4c2e-88ef-eb0fd8407920,group_edae3b94-dd87-47e1-b120-385a07619937,group_1ee22c57-8e23-4287-b3ee-f65f19dfb302,group_f96b7f20-1c67-4c75-a2ad-2282e46580b1,group_da9f7b46-7684-4119-97a4-bebc5ab45ce3	1,3,3,3,3,3
2	10111	10109_10111,10110_10111,10070_10111,group_d26f4613-5206-4c2e-88ef-eb0fd8407920,group_edae3b94-dd87-47e1-b120-385a07619937,group_b5925eb9-79f2-4590-b718-8778069d7bf5	1,1,1,3,3,3
2	10117	10114_10117,10117_10118,10116_10117,group_456fa4df-45a9-4161-b41c-81ea67d029a7,group_db2bfb5d-29dc-4f14-ba42-9a05b3cf6b16	1,1,1,3,3
2	10114	10114_10117,10114_10118,10105_10114,group_db2bfb5d-29dc-4f14-ba42-9a05b3cf6b16,group_1821e88b-b249-40de-998b-e22c16a82494	1,1,1,3,3
2	10118	10114_10118,10117_10118,10063_10118,group_456fa4df-45a9-4161-b41c-81ea67d029a7,group_1821e88b-b249-40de-998b-e22c16a82494	1,1,1,3,3
2	10116	10116_10117,group_456fa4df-45a9-4161-b41c-81ea67d029a7,group_db2bfb5d-29dc-4f14-ba42-9a05b3cf6b16,group_1821e88b-b249-40de-998b-e22c16a82494,group_9dce4757-f5c0-4bfa-8757-20aae070be8a,group_7b6ea624-1acc-4689-bacb-e5df4abae43c,group_27fd70f2-44d7-42a9-85f4-799caff38d69	1,3,3,3,3,3,3
2	10080	10080_10099,group_804d73f3-b05c-478f-9513-a5a2d1b5dddb,group_e2ff4dcd-4a6f-4fe4-a9ed-f6bddf7deddf	1,3,3
2	10068	10068_10077,group_74baef1c-b17d-43be-b749-cbdb18b78de8	1,3
2	10103	10103_10106,group_27fd70f2-44d7-42a9-85f4-799caff38d69	1,3
2	10082	10082_10113,group_d1d61e06-f775-489d-a1e3-a9b8625d3e38	1,3
2	10066	group_74baef1c-b17d-43be-b749-cbdb18b78de8,group_a0f6e4d3-8817-433a-9de3-24b3b50b3ff5,group_af906d36-1317-44c5-ad65-c8fc4216ff78	3,3,3
2	10065	group_a0f6e4d3-8817-433a-9de3-24b3b50b3ff5,group_991ecb85-0de4-40b6-b0e7-e2b605368efb,group_da9f7b46-7684-4119-97a4-bebc5ab45ce3	3,3,3
2	10069	group_af906d36-1317-44c5-ad65-c8fc4216ff78	3
2	10074	group_cdc85e82-0703-415b-9304-d984773c59fa	3
2	10083	group_98ee846a-a9fd-4347-92ac-6e252476b624,group_6e8009b0-f3f0-411c-8e26-9ee5160f8157	3,3
2	10085	group_98ee846a-a9fd-4347-92ac-6e252476b624,group_7b6ea624-1acc-4689-bacb-e5df4abae43c,group_88e28220-e592-411e-8726-380b2f11d113	3,3,3
2	10091	group_5456d71e-107f-4890-adec-3fcbd564baeb,group_9dce4757-f5c0-4bfa-8757-20aae070be8a	3,3
2	10089	group_5456d71e-107f-4890-adec-3fcbd564baeb,group_9e800e87-fa1e-45a4-b863-455a425476fc	3,3
2	10093	group_bcb83dbd-e1a5-4670-9976-2dd0e7d9e36f	3
2	10101	group_037968d0-124b-4033-96e4-a95bc1515df5	3
2	10102	group_037968d0-124b-4033-96e4-a95bc1515df5,group_6e8009b0-f3f0-411c-8e26-9ee5160f8157	3,3
2	10104	group_6ed38fd9-4084-44ca-aae6-451e7ff398c7,group_3850898f-0929-4f5f-8e36-f692c21c4d55,group_fed639f1-fe2e-4b42-9b64-a3a6fb19ec62	3,3,3
2	10112	group_edae3b94-dd87-47e1-b120-385a07619937,group_1ee22c57-8e23-4287-b3ee-f65f19dfb302,group_e2ff4dcd-4a6f-4fe4-a9ed-f6bddf7deddf	3,3,3
2	10115	group_456fa4df-45a9-4161-b41c-81ea67d029a7,group_db2bfb5d-29dc-4f14-ba42-9a05b3cf6b16,group_1821e88b-b249-40de-998b-e22c16a82494,group_9dce4757-f5c0-4bfa-8757-20aae070be8a	3,3,3,3
2	10067	group_991ecb85-0de4-40b6-b0e7-e2b605368efb	3
